"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-08 08:04:53.667735 UTC to 1980-01-08 08:04:53.667735 UTC", ... , "2080-12-16 08:19:37.190832 UTC to 2080-12-16 08:19:37.190832 UTC"], items=1339"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1992-12-01 20:09:19.236868 UTC","2448958.3398059820 JD UTC"
"1992-12-29 17:04:11.185061 UTC","2448986.2112405677 JD UTC"
"1993-01-26 10:18:22.465529 UTC","2449013.9294266845 JD UTC"
"1993-02-22 17:55:47.592207 UTC","2449041.2470786134 JD UTC"
"1993-03-21 18:58:47.633251 UTC","2449068.2908290885 JD UTC"
"1993-04-18 05:05:34.366991 UTC","2449095.7122033215 JD UTC"
"1993-05-15 21:46:01.101484 UTC","2449123.4069571933 JD UTC"
"1993-06-12 16:19:11.509306 UTC","2449151.1799943205 JD UTC"
"1993-07-10 10:49:15.653369 UTC","2449178.9508756176 JD UTC"
"1993-08-07 03:57:07.308012 UTC","2449206.6646679170 JD UTC"
"1993-09-03 17:01:19.943262 UTC","2449234.2092586025 JD UTC"
"1993-09-30 21:23:16.801384 UTC","2449261.3911666830 JD UTC"
"1993-10-27 23:55:54.203550 UTC","2449288.4971551336 JD UTC"
"1993-11-24 12:33:01.463825 UTC","2449316.0229336093 JD UTC"
"1993-12-22 07:49:07.154439 UTC","2449343.8257772503 JD UTC"
"1994-01-19 05:15:13.226618 UTC","2449371.7189030857 JD UTC"
"1994-02-16 01:34:27.552263 UTC","2449399.5655966700 JD UTC"
"1994-03-15 17:12:20.647798 UTC","2449427.2169056460 JD UTC"
"1994-04-11 23:48:57.825819 UTC","2449454.4923359468 JD UTC"
"1994-05-09 02:17:32.629170 UTC","2449481.5955165415 JD UTC"
"1994-06-05 12:37:54.197874 UTC","2449509.0263217350 JD UTC"
"1994-07-03 04:40:01.676718 UTC","2449536.6944638510 JD UTC"
"1994-07-30 22:55:27.874657 UTC","2449564.4551837347 JD UTC"
"1994-08-27 17:52:17.856072 UTC","2449592.2446511120 JD UTC"
"1994-09-24 12:02:46.800392 UTC","2449620.0019305600 JD UTC"
"1994-10-22 01:52:28.785797 UTC","2449647.5781109470 JD UTC"
"1994-11-18 05:07:37.214293 UTC","2449674.7136251656 JD UTC"
"1994-12-15 07:46:51.493789 UTC","2449701.8242071040 JD UTC"
"1995-01-11 22:02:04.137271 UTC","2449729.4181034407 JD UTC"
"1995-02-08 18:00:42.296946 UTC","2449757.2504895480 JD UTC"
"1995-03-08 14:58:36.298679 UTC","2449785.1240312345 JD UTC"
"1995-04-05 10:08:08.868841 UTC","2449812.9223248707 JD UTC"
"1995-05-03 00:47:51.317346 UTC","2449840.5332328400 JD UTC"
"1995-05-30 07:46:43.652010 UTC","2449867.8241163427 JD UTC"
"1995-06-26 10:48:50.883971 UTC","2449894.9505889350 JD UTC"
"1995-07-23 20:15:23.723705 UTC","2449922.3440245800 JD UTC"
"1995-08-20 11:40:53.651778 UTC","2449949.9867320806 JD UTC"
"1995-09-17 06:12:59.398352 UTC","2449977.7590208140 JD UTC"
"1995-10-15 02:04:34.279438 UTC","2450005.5865078640 JD UTC"
"1995-11-11 21:01:56.767122 UTC","2450033.3763514715 JD UTC"
"1995-12-09 10:12:47.052316 UTC","2450060.9255445870 JD UTC"
"1996-01-05 11:31:33.711129 UTC","2450087.9802512860 JD UTC"
"1996-02-01 15:43:14.925219 UTC","2450115.1550338566 JD UTC"
"1996-02-29 07:06:33.294602 UTC","2450142.7962186877 JD UTC"
"1996-03-28 02:39:40.871457 UTC","2450170.6108897160 JD UTC"
"1996-04-24 22:24:08.273513 UTC","2450198.4334290917 JD UTC"
"1996-05-22 16:19:25.816903 UTC","2450226.1801599180 JD UTC"
"1996-06-19 06:22:49.979640 UTC","2450253.7658562460 JD UTC"
"1996-07-16 13:32:45.663359 UTC","2450281.0644174000 JD UTC"
"1996-08-12 16:29:03.114353 UTC","2450308.1868416015 JD UTC"
"1996-09-09 01:46:20.472587 UTC","2450335.5738480620 JD UTC"
"1996-10-06 17:52:31.164145 UTC","2450363.2448051404 JD UTC"
"1996-11-03 13:37:30.007150 UTC","2450391.0677084160 JD UTC"
"1996-12-01 10:30:40.418666 UTC","2450418.9379678085 JD UTC"
"1996-12-29 05:25:35.223065 UTC","2450446.7261021190 JD UTC"
"1997-01-25 16:45:04.067020 UTC","2450474.1979637390 JD UTC"
"1997-02-21 17:08:27.064423 UTC","2450501.2142021344 JD UTC"
"1997-03-20 23:39:15.946563 UTC","2450528.4856012333 JD UTC"
"1997-04-17 15:25:39.788474 UTC","2450556.1428216260 JD UTC"
"1997-05-15 10:10:12.319213 UTC","2450583.9237536946 JD UTC"
"1997-06-12 05:04:48.671649 UTC","2450611.7116744400 JD UTC"
"1997-07-09 22:50:02.047399 UTC","2450639.4514125856 JD UTC"
"1997-08-06 13:32:45.217555 UTC","2450667.0644122404 JD UTC"
"1997-09-02 21:16:56.240172 UTC","2450694.3867620390 JD UTC"
"1997-09-29 23:29:37.940529 UTC","2450721.4789113486 JD UTC"
"1997-10-27 09:03:30.704398 UTC","2450748.8774387080 JD UTC"
"1997-11-24 02:26:46.113933 UTC","2450776.6019226150 JD UTC"
"1997-12-21 23:23:32.167533 UTC","2450804.4746778650 JD UTC"
"1998-01-18 20:38:28.299574 UTC","2450832.3600497637 JD UTC"
"1998-02-15 14:44:07.775235 UTC","2450860.1139788800 JD UTC"
"1998-03-15 00:38:19.483515 UTC","2450887.5266143926 JD UTC"
"1998-04-11 01:46:25.492588 UTC","2450914.5739061640 JD UTC"
"1998-05-08 08:54:55.715431 UTC","2450941.8714781880 JD UTC"
"1998-06-04 23:42:47.593400 UTC","2450969.4880508496 JD UTC"
"1998-07-02 17:29:05.469124 UTC","2450997.2285355222 JD UTC"
"1998-07-30 12:08:06.332440 UTC","2451025.0056288475 JD UTC"
"1998-08-27 06:24:48.546231 UTC","2451052.7672285440 JD UTC"
"1998-09-23 21:54:55.545705 UTC","2451080.4131428900 JD UTC"
