"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-16 12:53:35.827291 UTC to 1980-01-16 12:53:35.827291 UTC", ... , "2080-12-12 02:02:34.751115 UTC to 2080-12-12 02:02:34.751115 UTC"], items=1350"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1998-12-19 21:25:17.821171 UTC","2451167.3925673747 JD UTC"
"1999-01-16 05:47:16.918310 UTC","2451194.7411680360 JD UTC"
"1999-02-12 14:53:45.272746 UTC","2451222.1206628790 JD UTC"
"1999-03-11 23:46:45.681721 UTC","2451249.4908065014 JD UTC"
"1999-04-08 07:47:31.347612 UTC","2451276.8246683753 JD UTC"
"1999-05-05 14:56:59.925020 UTC","2451304.1229157990 JD UTC"
"1999-06-01 21:43:02.357353 UTC","2451331.4048883950 JD UTC"
"1999-06-29 04:37:37.094756 UTC","2451358.6927904487 JD UTC"
"1999-07-26 12:01:03.163787 UTC","2451386.0007310620 JD UTC"
"1999-08-22 19:55:33.314626 UTC","2451413.3302466970 JD UTC"
"1999-09-19 04:06:17.907090 UTC","2451440.6710405913 JD UTC"
"1999-10-16 12:09:17.661205 UTC","2451468.0064544120 JD UTC"
"1999-11-12 19:44:59.059932 UTC","2451495.3229057863 JD UTC"
"1999-12-10 02:50:39.728951 UTC","2451522.6185153816 JD UTC"
"2000-01-06 09:40:25.868953 UTC","2451549.9030771870 JD UTC"
"2000-02-02 16:35:03.961687 UTC","2451577.1910180750 JD UTC"
"2000-02-29 23:53:31.601420 UTC","2451604.4955046460 JD UTC"
"2000-03-28 07:43:29.576818 UTC","2451631.8218701020 JD UTC"
"2000-04-24 15:50:03.500803 UTC","2451659.1597627406 JD UTC"
"2000-05-21 23:40:20.216456 UTC","2451686.4863450980 JD UTC"
"2000-06-18 06:46:53.950653 UTC","2451713.7825688734 JD UTC"
"2000-07-15 13:08:36.695976 UTC","2451741.0476469440 JD UTC"
"2000-08-11 19:14:06.286258 UTC","2451768.3014616463 JD UTC"
"2000-09-08 01:47:19.862665 UTC","2451795.5745354476 JD UTC"
"2000-10-05 09:19:55.241585 UTC","2451822.8888338148 JD UTC"
"2000-11-01 17:44:06.263968 UTC","2451850.2389613884 JD UTC"
"2000-11-29 02:09:57.763155 UTC","2451877.5902518880 JD UTC"
"2000-12-26 09:37:50.244004 UTC","2451904.9012759724 JD UTC"
"2001-01-22 15:46:27.949760 UTC","2451932.1572679370 JD UTC"
"2001-02-18 21:19:46.282194 UTC","2451959.3887301180 JD UTC"
"2001-03-18 03:39:00.011103 UTC","2451986.6520834616 JD UTC"
"2001-04-14 11:30:22.149485 UTC","2452013.9794230266 JD UTC"
"2001-05-11 20:22:25.883314 UTC","2452041.3489106866 JD UTC"
