"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-26 11:42:03.714172 UTC to 1980-01-26 11:42:03.714172 UTC", ... , "2080-12-12 01:39:30.015470 UTC to 2080-12-12 01:39:30.015470 UTC"], items=1355"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1998-06-22 03:41:32.261966 UTC","2450986.6538456245 JD UTC"
"1998-07-19 08:06:02.171530 UTC","2451013.8375251335 JD UTC"
"1998-08-15 12:23:16.823475 UTC","2451041.0161669385 JD UTC"
"1998-09-11 17:30:00.117459 UTC","2451068.2291680262 JD UTC"
"1998-10-08 23:52:46.022684 UTC","2451095.4949771143 JD UTC"
"1998-11-05 07:08:11.250880 UTC","2451122.7973524407 JD UTC"
"1998-12-02 14:20:23.289861 UTC","2451150.0974917808 JD UTC"
"1998-12-29 20:37:13.257471 UTC","2451177.3591812206 JD UTC"
"1999-01-26 01:42:51.827877 UTC","2451204.5714331930 JD UTC"
"1999-02-22 06:19:16.208415 UTC","2451231.7633820420 JD UTC"
"1999-03-21 11:32:13.080862 UTC","2451258.9807069544 JD UTC"
"1999-04-17 17:46:40.376058 UTC","2451286.2407450930 JD UTC"
"1999-05-15 00:40:27.659157 UTC","2451313.5280979070 JD UTC"
"1999-06-11 07:35:41.592707 UTC","2451340.8164536194 JD UTC"
"1999-07-08 13:54:19.466818 UTC","2451368.0793919773 JD UTC"
"1999-08-04 19:12:40.648294 UTC","2451395.3004704663 JD UTC"
"1999-08-31 23:43:49.380592 UTC","2451422.4887659790 JD UTC"
"1999-09-28 04:18:41.762077 UTC","2451449.6796500240 JD UTC"
"1999-10-25 09:54:24.327900 UTC","2451476.9127815730 JD UTC"
"1999-11-21 16:52:44.499925 UTC","2451504.2032928234 JD UTC"
"1999-12-19 00:30:50.230742 UTC","2451531.5214147080 JD UTC"
"2000-01-15 07:18:15.061632 UTC","2451558.8043409910 JD UTC"
"2000-02-11 12:17:58.809864 UTC","2451586.0124862255 JD UTC"
"2000-03-09 16:04:16.620439 UTC","2451613.1696368107 JD UTC"
"2000-04-05 20:03:18.743415 UTC","2451640.3356336043 JD UTC"
"2000-05-03 01:22:17.315390 UTC","2451667.5571448540 JD UTC"
"2000-05-30 08:08:58.816904 UTC","2451694.8395696400 JD UTC"
"2000-06-26 15:25:23.140350 UTC","2451722.1426289394 JD UTC"
"2000-07-23 21:43:54.388054 UTC","2451749.4054906024 JD UTC"
"2000-08-20 02:09:49.593079 UTC","2451776.5901573272 JD UTC"
"2000-09-16 05:08:25.635927 UTC","2451803.7141856010 JD UTC"
"2000-10-13 08:18:12.911540 UTC","2451830.8459827723 JD UTC"
"2000-11-09 13:21:01.693952 UTC","2451858.0562696060 JD UTC"
"2000-12-06 20:29:38.613125 UTC","2451885.3539191335 JD UTC"
"2001-01-03 04:00:27.908868 UTC","2451912.6669896860 JD UTC"
"2001-01-30 09:39:53.647723 UTC","2451939.9027042560 JD UTC"
"2001-02-26 12:45:41.071238 UTC","2451967.0317253615 JD UTC"
"2001-03-25 14:40:36.424104 UTC","2451994.1115326863 JD UTC"
"2001-04-21 17:37:41.262882 UTC","2452021.2345053570 JD UTC"
"2001-05-18 22:52:43.606576 UTC","2452048.4532824834 JD UTC"
"2001-06-15 05:50:16.099701 UTC","2452075.7432418945 JD UTC"
"2001-07-12 12:37:12.373708 UTC","2452103.0258376584 JD UTC"
"2001-08-08 17:24:42.554465 UTC","2452130.2254925286 JD UTC"
"2001-09-04 19:47:05.552767 UTC","2452157.3243698236 JD UTC"
"2001-10-01 21:12:06.543222 UTC","2452184.3834090650 JD UTC"
"2001-10-29 00:02:32.928129 UTC","2452211.5017700014 JD UTC"
"2001-11-25 05:35:25.991802 UTC","2452238.7329397200 JD UTC"
"2001-12-22 12:48:51.639537 UTC","2452266.0339310130 JD UTC"
"2002-01-18 19:11:32.690929 UTC","2452293.2996839230 JD UTC"
"2002-02-14 22:51:31.189654 UTC","2452320.4524443247 JD UTC"
"2002-03-14 00:14:15.281276 UTC","2452347.5098990886 JD UTC"
"2002-04-10 01:40:40.663064 UTC","2452374.5699150820 JD UTC"
"2002-05-07 05:21:27.545215 UTC","2452401.7232354770 JD UTC"
"2002-06-03 11:31:50.019593 UTC","2452428.9804400415 JD UTC"
"2002-06-30 18:34:35.366173 UTC","2452456.2740204420 JD UTC"
"2002-07-28 00:20:13.897384 UTC","2452483.5140497380 JD UTC"
"2002-08-24 03:38:19.353568 UTC","2452510.6516128886 JD UTC"
"2002-09-20 05:11:57.353702 UTC","2452537.7166360384 JD UTC"
"2002-10-17 07:11:22.257752 UTC","2452564.7995631685 JD UTC"
"2002-11-13 11:31:35.717940 UTC","2452591.9802745134 JD UTC"
"2002-12-10 18:17:15.693656 UTC","2452619.2619871950 JD UTC"
"2003-01-07 01:34:39.976188 UTC","2452646.5657404650 JD UTC"
"2003-02-03 07:03:19.724996 UTC","2452673.7939782985 JD UTC"
"2003-03-02 09:59:04.680938 UTC","2452700.9160264000 JD UTC"
"2003-03-29 11:53:21.040549 UTC","2452727.9953824137 JD UTC"
"2003-04-25 15:05:19.353016 UTC","2452755.1286962153 JD UTC"
"2003-05-22 20:41:26.736348 UTC","2452782.3621150040 JD UTC"
"2003-06-19 03:53:46.840703 UTC","2452809.6623476935 JD UTC"
"2003-07-16 10:51:58.508424 UTC","2452836.9527605143 JD UTC"
"2003-08-12 16:08:18.423390 UTC","2452864.1724354560 JD UTC"
"2003-09-08 19:36:27.155592 UTC","2452891.3169809673 JD UTC"
"2003-10-05 22:30:53.995653 UTC","2452918.4381249496 JD UTC"
"2003-11-02 02:33:19.377815 UTC","2452945.6064742804 JD UTC"
"2003-11-29 08:40:47.227639 UTC","2452972.8616577275 JD UTC"
"2003-12-26 16:15:13.533363 UTC","2453000.1772399694 JD UTC"
"2004-01-22 23:28:03.653879 UTC","2453027.4778200680 JD UTC"
"2004-02-19 04:56:19.172408 UTC","2453054.7057774584 JD UTC"
"2004-03-17 08:51:49.913093 UTC","2453081.8693276980 JD UTC"
"2004-04-13 12:39:41.011558 UTC","2453109.0275580040 JD UTC"
"2004-05-10 17:42:05.986212 UTC","2453136.2375692850 JD UTC"
"2004-06-07 00:14:36.747191 UTC","2453163.5101475370 JD UTC"
"2004-07-04 07:26:49.506784 UTC","2453190.8102952170 JD UTC"
"2004-07-31 14:13:54.755217 UTC","2453218.0929948520 JD UTC"
"2004-08-27 20:00:21.441451 UTC","2453245.3335814984 JD UTC"
"2004-09-24 00:48:59.348678 UTC","2453272.5340202395 JD UTC"
"2004-10-21 05:16:40.992208 UTC","2453299.7199188913 JD UTC"
"2004-11-17 10:23:00.343049 UTC","2453326.9326428594 JD UTC"
"2004-12-14 16:46:53.525945 UTC","2453354.1992306244 JD UTC"
"2005-01-11 00:06:28.426236 UTC","2453381.5044956740 JD UTC"
"2005-02-07 07:19:57.371673 UTC","2453408.8055251352 JD UTC"
"2005-03-06 13:34:58.078649 UTC","2453436.0659499844 JD UTC"
"2005-04-02 18:42:06.549235 UTC","2453463.2792424680 JD UTC"
"2005-04-29 23:20:38.437323 UTC","2453490.4726670985 JD UTC"
"2005-05-27 04:23:13.901583 UTC","2453517.6827997870 JD UTC"
"2005-06-23 10:17:10.736272 UTC","2453544.9285964845 JD UTC"
"2005-07-20 17:00:01.086657 UTC","2453572.2083459105 JD UTC"
"2005-08-17 00:05:28.429529 UTC","2453599.5038012676 JD UTC"
"2005-09-13 06:44:31.591810 UTC","2453626.7809212017 JD UTC"
"2005-10-10 12:10:39.183206 UTC","2453654.0073979540 JD UTC"
"2005-11-06 16:28:56.556835 UTC","2453681.1867657043 JD UTC"
"2005-12-03 20:47:21.331447 UTC","2453708.3662191140 JD UTC"
"2005-12-31 02:20:11.647338 UTC","2453735.5973570296 JD UTC"
"2006-01-27 09:23:29.872130 UTC","2453762.8913179645 JD UTC"
"2006-02-23 16:56:49.383464 UTC","2453790.2061271234 JD UTC"
"2006-03-22 23:28:41.082934 UTC","2453817.4782532747 JD UTC"
"2006-04-19 04:14:23.012833 UTC","2453844.6766552413 JD UTC"
"2006-05-16 07:47:48.110196 UTC","2453871.8248623866 JD UTC"
"2006-06-12 11:29:18.934931 UTC","2453898.9786913767 JD UTC"
