"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-13 18:38:11.018429 UTC to 1980-01-13 18:38:11.018429 UTC", ... , "2080-12-26 05:05:01.003099 UTC to 2080-12-26 05:05:01.003099 UTC"], items=1356"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"2002-08-10 19:11:12.068228 UTC","2452497.2994452342 JD UTC"
"2002-09-07 01:21:07.177906 UTC","2452524.5563330776 JD UTC"
"2002-10-04 08:28:21.473516 UTC","2452551.8530263137 JD UTC"
"2002-10-31 15:42:17.371960 UTC","2452579.1543677310 JD UTC"
"2002-11-27 21:48:57.260796 UTC","2452606.4089960740 JD UTC"
"2002-12-25 02:21:33.064637 UTC","2452633.5982993594 JD UTC"
"2003-01-21 06:18:17.910104 UTC","2452660.7627072930 JD UTC"
"2003-02-17 11:06:26.204228 UTC","2452687.9628032898 JD UTC"
"2003-03-16 17:27:56.925440 UTC","2452715.2277421930 JD UTC"
"2003-04-13 00:51:36.278197 UTC","2452742.5358365530 JD UTC"
"2003-05-10 07:54:48.673698 UTC","2452769.8297300194 JD UTC"
"2003-06-06 13:24:41.084736 UTC","2452797.0588088510 JD UTC"
"2003-07-03 17:11:46.269945 UTC","2452824.2165077540 JD UTC"
"2003-07-30 20:17:42.222194 UTC","2452851.3456275720 JD UTC"
"2003-08-27 00:17:00.425777 UTC","2452878.5118104834 JD UTC"
"2003-09-23 06:12:37.140402 UTC","2452905.7587631990 JD UTC"
"2003-10-20 13:38:14.804194 UTC","2452933.0682269004 JD UTC"
"2003-11-16 20:42:24.464999 UTC","2452960.3627831596 JD UTC"
"2003-12-14 01:36:00.849842 UTC","2452987.5666765026 JD UTC"
"2004-01-10 04:16:00.226374 UTC","2453014.6777803977 JD UTC"
"2004-02-06 06:34:42.218074 UTC","2453041.7740997463 JD UTC"
"2004-03-04 10:39:55.261125 UTC","2453068.9443895966 JD UTC"
"2004-03-31 17:03:47.223289 UTC","2453096.2109632324 JD UTC"
"2004-04-28 00:21:34.521314 UTC","2453123.5149828857 JD UTC"
"2004-05-25 06:27:14.914225 UTC","2453150.7689226180 JD UTC"
"2004-06-21 10:08:17.691386 UTC","2453177.9224269837 JD UTC"
"2004-07-18 11:57:02.948237 UTC","2453204.9979507900 JD UTC"
"2004-08-14 13:51:02.154020 UTC","2453232.0771082640 JD UTC"
"2004-09-10 17:47:33.139434 UTC","2453259.2413557805 JD UTC"
"2004-10-08 00:09:32.959658 UTC","2453286.5066314777 JD UTC"
"2004-11-04 07:21:01.842500 UTC","2453313.8062713253 JD UTC"
"2004-12-01 12:56:49.424591 UTC","2453341.0394609330 JD UTC"
"2004-12-28 15:42:22.859819 UTC","2453368.1544312480 JD UTC"
"2005-01-24 16:48:36.204211 UTC","2453395.2004190300 JD UTC"
"2005-02-20 18:55:31.369589 UTC","2453422.2885575183 JD UTC"
"2005-03-19 23:45:34.109202 UTC","2453449.4899781155 JD UTC"
"2005-04-16 06:39:06.291838 UTC","2453476.7771561556 JD UTC"
"2005-05-13 13:22:22.846916 UTC","2453504.0572088760 JD UTC"
"2005-06-09 17:57:37.602118 UTC","2453531.2483518760 JD UTC"
"2005-07-06 20:08:00.625418 UTC","2453558.3388961274 JD UTC"
"2005-08-02 21:28:25.899745 UTC","2453585.3947442100 JD UTC"
"2005-08-30 00:12:37.801269 UTC","2453612.5087708480 JD UTC"
"2005-09-26 05:30:47.750456 UTC","2453639.7297193340 JD UTC"
"2005-10-23 12:37:10.601076 UTC","2453667.0258171420 JD UTC"
"2005-11-19 19:21:37.252108 UTC","2453694.3066811585 JD UTC"
"2005-12-16 23:47:46.397904 UTC","2453721.4915092350 JD UTC"
"2006-01-13 01:55:43.138825 UTC","2453748.5803604033 JD UTC"
"2006-02-09 03:50:19.361280 UTC","2453775.6599463113 JD UTC"
"2006-03-08 07:48:26.056925 UTC","2453802.8253015850 JD UTC"
"2006-04-04 14:17:08.590870 UTC","2453830.0952383200 JD UTC"
"2006-05-01 21:41:08.126796 UTC","2453857.4035662822 JD UTC"
"2006-05-29 03:54:12.449990 UTC","2453884.6626440970 JD UTC"
